(19, 4156)
(612, 2939)
(1618, 1144)
(1982, 787)
(1982, 3618)
(1982, 380)
(1983, 3619)
(2159, 1603)
(3036, 1169)
(3037, 1168)
(3038, 1167)
(3039, 1166)
(3040, 510)
(3040, 1165)
(3041, 511)
(3041, 1164)
(3041, 4786)
(3084, 1327)
(3485, 2065)
(3525, 2425)
(3526, 2424)
(3531, 5175)
(3884, 138)
(4229, 5140)
(4264, 974)
(4685, 3417)
(4686, 3418)
(4687, 3419)
(4902, 162)
(4902, 927)
(4902, 2580)
(4903, 163)
(4903, 2579)
(4904, 164)
(4904, 2578)
(4905, 2577)
(4906, 2576)
(4965, 1270)
(5225, 1966)
(5303, 4688)
(5304, 4689)
(5305, 4690)
(5567, 654)
(6467, 3465)
(6521, 3202)
(6915, 627)
(7009, 4233)
(7273, 4251)
(7923, 549)
(8473, 930)
(8851, 3510)
(10082, 616)
(10192, 3493)
(10606, 1389)
(10606, 1408)
(10607, 1409)
(11028, 1990)
(12300, 4499)
(12362, 624)
(13504, 3798)
(14032, 5267)
(14078, 3890)
(14325, 1829)
(14746, 5423)
(14746, 1123)
(14746, 5412)
(16738, 5301)
(16771, 2095)
(16772, 2094)
(16773, 2093)
(16774, 2092)
(16775, 2091)
(17206, 520)
(17207, 519)
(17208, 518)
(17403, 5240)
(17404, 224)
(17404, 5241)
(17404, 3391)
(17405, 3390)
(17406, 3389)
(17499, 2435)
(17499, 4319)
(17692, 1783)
(18440, 5239)
(18441, 5240)
(18442, 224)
(18442, 5241)
(18442, 3391)
(18443, 225)
(18859, 291)
(18860, 292)
(19075, 5246)
(19076, 5246)
(20419, 511)
(20419, 1164)
(20419, 4786)
(20420, 1163)
(20861, 3719)
(20914, 3636)
(20915, 3637)
(21171, 4094)
(21172, 4093)
(21172, 5100)
(21173, 3898)
(21173, 4092)
(21173, 5099)
(21174, 4091)
(21174, 5098)
(21254, 4776)
(21300, 3898)
(21300, 4092)
(21300, 5099)
(21301, 4091)
(21301, 5098)
(23066, 5499)
(23174, 2018)
(23175, 2019)
(23210, 3216)
(23896, 2623)
(24011, 765)
(24125, 1581)
(24692, 379)
(24693, 380)
(24693, 787)
(24693, 3618)
(24736, 4461)
(24736, 1551)
(24737, 4462)
(24910, 2231)
(24910, 3880)
(24910, 2725)
(25432, 1915)
(25432, 2553)
(25967, 5050)
(26517, 1527)
(26672, 3310)
(26673, 3311)
(26789, 4595)
(27064, 3156)
(27065, 3157)
(27066, 3158)
(27067, 3159)
(27266, 84)
(27285, 530)
(27307, 1873)
(27307, 2319)
(27307, 2977)
(27490, 639)
(28900, 1025)
(28901, 111)
(28901, 1024)
(28943, 1583)
(29947, 1051)
(29995, 3320)
(30069, 3357)
(30070, 3356)
(30532, 4067)
(30740, 3123)
(30741, 3124)
(31127, 1449)
(31128, 1448)
(31810, 3842)
(32031, 1593)
(32106, 322)
(32345, 1367)
(32643, 2219)
(32831, 5490)
(33368, 1272)
(33849, 2033)
(34182, 3414)
(34239, 3467)
(34262, 570)
(34294, 1413)
(34325, 2069)
(34525, 1928)
(34621, 3724)
(34622, 3723)
(34623, 3722)
(34692, 935)
(34764, 836)
(34832, 3516)
(34832, 3995)
(34833, 3515)
(35722, 3137)
(35723, 3136)
(35753, 1182)
